Taxa	AGY_HRB	AGY_Overall	AGY_Taian	EH_HRB	EH_Overall	EH_SH	EH_Taian	ERN_HRB	ERN_Overall	ERN_Taian	KR_HRB	KR_Overall	KR_Taian	PH_HRB	PH_Overall	PH_SH	PH_Taian
MP/MM402A	2.739656397	2.157652813	1.760116395	0.5334682	0.439398088	0.492558378	0.321602739	0.440997372	0.39574193	0.311237308	0.79675673	0.602478972	0.40035378	0.389341975	0.343210569	0.338066279	0.319504509
MP/H114	1.171218841	0.708831181	0.37268927	0.400582728	0.332498889	0.319257713	0.311150442	0.044953607	0.016944482	-0.016903715	0.435675863	0.321995586	0.206403889	0.298744059	0.27399222	0.250898586	0.30482339
MP/HBAI	3.058204906	2.697023059	2.250378313	1.068023887	0.822776031	0.739128128	0.687158104	0.25199716	0.284623388	0.292261914	0.893869544	0.959543788	0.934046593	0.856972447	0.650049249	0.463554288	0.633269037
MP/dan598	2.277064938	2.001175865	1.746824764	0.689108225	0.571833938	0.592711175	0.473521422	0.155801759	0.186326081	0.196242199	0.657361252	0.672211507	0.668763187	0.492631102	0.429801896	0.378043082	0.442920833
MP/BCC03	1.592114984	1.249979377	1.078361076	0.513794538	0.385122342	0.445187043	0.217196107	0.090756918	0.123727311	0.157367811	0.3420278	0.356525223	0.365310857	0.282428832	0.262950819	0.256712751	0.26904109
MP/MDF-13D	NA	2.029325647	2.001988058	NA	0.37673713	NA	0.374058032	NA	0.09109743	0.116143965	NA	0.795396411	1.020983185	NA	0.400054045	NA	0.363612272
MP/longkang1	0.191299339	0.006105661	-0.098025678	0.284299108	0.243844309	NA	0.242877991	0.142629109	0.162859454	0.164122067	0.176267706	0.147148534	0.070800433	0.210291519	0.206240895	NA	0.244948262
MP/Sg1533	1.897889291	1.314896518	0.790560496	0.578972588	0.441719661	0.405076541	0.386778613	0.084553896	0.127596752	0.168707884	0.505991835	0.505402131	0.478837383	0.427296623	0.343693481	0.289837628	0.336065395
MP/IBB14	1.668837286	1.023337795	0.38765297	0.542372605	0.501867702	0.412329175	0.611729946	0.075058746	0.069670756	0.057381512	0.459062426	0.444564082	0.398862582	0.358300824	0.332017686	0.282354302	0.376303467
MP/A619	3.374406909	2.08259955	1.286870928	0.89111664	0.67587823	0.890233714	0.372144255	0.201119213	0.140028462	0.086430488	0.915013051	0.786644318	0.648193501	0.621971941	0.457506109	0.46304095	0.32706226
MP/PHT69	NA	0.437615938	0.254677419	NA	0.213114901	0.143110996	0.313845017	NA	0.077450341	0.077624575	NA	0.16788411	0.122950789	NA	0.196915839	0.238360784	0.146177198
MP/Lp215D	2.200113725	2.034254093	1.959105606	0.715246386	0.582443423	0.574820808	0.514457353	0.216217803	0.170738182	0.11530794	0.714443864	0.771046146	0.858030917	0.302872337	0.272347422	0.252601264	0.28589156
MP/M3736	2.501543735	1.809542571	1.314193822	0.547135553	0.472585098	0.415158135	0.498858854	0.10194239	0.140244746	0.183042002	0.649844036	0.681575245	0.692330684	0.401180827	0.361176407	0.310610145	0.392167082
K10/SC30-1	1.696575023	1.460943085	1.203775132	0.479048392	0.344727372	0.216377635	0.432301436	0.084473023	0.085778415	0.057421895	0.5418596	0.537242008	0.599467977	0.415171142	0.37955909	0.39205346	0.366450814
K10/yan156	1.417365143	1.375117664	1.546257268	0.474899288	0.387793024	0.200914473	0.683478665	0.021930219	0.069420509	0.120919039	0.612620604	0.644941753	0.712260008	0.373389656	0.379344987	0.328491985	0.511027648
K10/ji63	0.889314553	0.860406129	1.039941161	0.261147188	0.254072883	0.148084213	0.505664291	0.04615249	-0.009738905	-0.060480715	0.412630638	0.459519607	0.517197911	0.283498473	0.328979324	0.343375442	0.423656614
K10/84-126-15-1	2.292157254	1.690692109	1.186619525	0.445852826	0.30356207	0.181572074	0.365906637	0.036776442	0.06880835	0.093947426	0.638132667	0.695559943	0.76969683	0.462160404	0.435233666	0.44796299	0.443738973
K10/PHT22	2.055438764	1.9101995	1.818789788	0.481780004	0.375484608	0.23836965	0.55177807	0.107569598	0.123851862	0.153722875	0.719939698	0.814540669	0.973933718	0.408232714	0.4340215	0.416367555	0.537356688
K10/T24	1.951394789	1.870767551	1.986833515	0.468571631	0.321363603	0.11552171	0.537270086	0.102249449	0.104486272	0.128485494	1.019229931	0.976275306	1.004847989	0.493731101	0.398282713	0.304095735	0.45985021
K10/IBB14	1.46065905	1.394099484	1.471162661	0.351935351	0.27248805	0.080843273	0.536044582	-0.017207623	-0.012743333	0.004171369	0.647288432	0.723197292	0.865053965	0.364015545	0.355477448	0.308688323	0.438868595
K10/A619	2.48151806	1.637936377	1.144198687	0.666752026	0.456969982	0.232430934	0.705201615	0.298668528	0.232611178	0.181405482	1.143029631	0.969571738	0.84914533	0.598014774	0.512944659	0.496267442	0.5034651
K10/PHT69	NA	0.830787723	0.410561533	NA	0.15509812	-0.070548291	0.481921794	NA	0.001284639	0.001912821	NA	0.333054792	0.291883013	NA	0.31835798	0.351514996	0.288239021
K10/NS501	0.685531373	0.593390755	0.551611243	0.472699593	0.33230317	0.104879122	0.55924629	-0.053568851	-0.064404841	-0.062077062	0.249081851	0.232818185	0.185238102	0.240253803	0.223599814	0.199398151	0.265670661
K10/shuang741	1.402459687	1.244112092	1.195230137	0.515586974	0.267814786	-0.010343947	0.602795615	-0.053568851	-0.049184006	-0.033978784	0.641427536	0.573824985	0.528138607	0.470750814	0.342156722	0.186700247	0.480870305
K10/PHT77	1.335780428	1.387494314	1.57119218	0.409042582	0.339736717	0.179345202	0.59045576	0.142450217	0.148617216	0.149341955	0.608394231	0.675766292	0.777266322	0.364615649	0.363860581	0.329661608	0.437542647
K10/PHG47	2.347284574	1.946331556	1.763568714	0.567723312	0.440275413	0.125628898	0.896771333	0.129254448	0.173150684	0.225615193	0.740319492	0.728238105	0.779612162	0.48485495	0.497732066	0.487849443	0.586803551
K10/xuan6	1.97457927	1.796283175	1.75080724	0.401873977	0.321753652	0.134333619	0.569339386	0.149166853	0.140907464	0.13392929	0.821283448	0.771926203	0.758198494	0.41993052	0.434345398	0.440705516	0.485740813
K10/FBHJ	1.762055989	1.610635452	1.60290548	0.549153396	0.352450597	0.08970801	0.579330696	0.078601579	0.088346925	0.119315187	0.781307937	0.732036538	0.7168271	0.316681014	0.291912417	0.253529819	0.340752554
78010/LH162	1.927624892	1.882464232	2.014527891	0.447813522	0.296911358	0.140169464	0.382019334	0.155382982	0.150791388	0.149288192	0.571595748	0.654890692	0.746833733	0.473909401	0.445022503	0.432766978	0.487859958
