Taxa	ADW	FW	ML	pSL	RL	SL	TL
MP/MM402A	0.95577238	0.031813315	0.064124811	0.272637145	0.266855187	0.240687341	0.257382909
MP/H114	1.251209689	0.043755129	-0.109708963	0.161305347	0.329701992	0.123684626	0.223613173
MP/HBAI	1.626414772	0.334983373	0.075039297	0.528432525	0.638379832	0.45299076	0.555853207
MP/dan598	1.30045915	0.447330725	-0.069467556	0.61785842	0.433395936	0.484107492	0.4522364
MP/BCC03	1.559716321	0.427865086	0.10755388	0.518022539	0.557488286	0.448054936	0.500443697
MP/MDF-13D	1.225116339	0.449713023	0.055245597	0.546796029	0.776880019	0.449329432	0.608573917
MP/longkang1	1.871014457	1.020018331	-0.014335066	0.889621917	1.236759081	0.720803309	0.951911757
MP/Sg1533	1.193219635	0.446505301	0.023500475	0.523215704	0.434437858	0.436947404	0.431432506
MP/IBB14	1.217936748	0.402757927	0.085689583	0.454838199	-0.00664241	0.393591362	0.171522207
MP/A619	0.595624187	0.087138213	0.130161118	0.448151345	0.38731209	0.407040083	0.390447003
MP/PHT69	1.351814879	0.475856948	-0.000194771	0.998836096	0.767079157	0.811943193	0.770653999
MP/Lp215D	0.887390828	0.232762476	-0.085086775	0.402234994	0.537504412	0.306751287	0.42791481
MP/M3736	1.592895638	0.888163	-0.033283297	1.066015772	1.055214691	0.801678005	0.933846843
K10/SC30-1	0.406144572	0.199744728	0.072292718	0.174966461	0.339483614	0.160618178	0.254845144
K10/yan156	1.228924541	0.902915161	0.272487671	0.635904045	0.775338716	0.592859737	0.691075221
K10/ji63	0.689493822	0.432463242	0.182333759	0.33601158	0.583838192	0.314455032	0.444915027
K10/84-126-15-1	0.768567443	0.718413835	0.244481861	0.557172655	0.992623678	0.521856482	0.762100291
K10/PHT22	0.412163919	0.155593541	0.074694642	0.258062835	0.29199941	0.232118566	0.270316991
K10/T24	0.553541619	0.363953915	0.066300738	0.202880877	0.28945781	0.188178457	0.246867262
K10/IBB14	1.117549878	0.559317389	-0.01827639	0.397715825	0.517217139	0.339669591	0.436630992
K10/A619	0.30401583	0.229637743	0.079834389	0.339236474	0.537581736	0.306876689	0.432038113
K10/PHT69	0.52766733	0.341459704	0.005366331	0.527590182	0.556919457	0.455382033	0.503599488
K10/NS501	0.304988074	0.240642305	0.031462199	0.287490156	0.188340353	0.257354328	0.230941893
K10/shuang741	0.327762571	0.458117743	0.130801735	0.257352233	0.529772032	0.240418994	0.391961071
K10/PHT77	0.656587379	0.556769169	-0.045393255	0.384844233	0.567186834	0.319605994	0.451299213
K10/PHG47	1.255318806	0.996583949	0.074758236	0.612112412	0.906875534	0.547950037	0.735237861
K10/xuan6	0.831530202	0.628379067	0.090009776	0.567027674	0.795976895	0.505036646	0.651955672
